State,District,Latitude,Longitude,State type
Andaman Nicobar,Nicobar,12.004034,93.000414,Union Territory
Andaman Nicobar,North Middle Andaman,12.869653,92.816462,Union Territory
Andaman Nicobar,South Andaman,11.912253,92.660744,Union Territory
Andhra Pradesh,Anantapur,14.665065,77.599337,State
Andhra Pradesh,Chittoor,14.466667,78.816667,State
Andhra Pradesh,East Godavari,16.95,82.25,State
Andhra Pradesh,Guntur,16.3,80.45,State
Andhra Pradesh,Kadapa,14.466667,78.816667,State
Andhra Pradesh,Krishna,16.283333,81.216667,State
Andhra Pradesh,Kurnool,15.811833,77.969761,State
Andhra Pradesh,Nellore,14.433333,80,State
Andhra Pradesh,Prakasam,15.333333,79.55,State
Andhra Pradesh,Srikakulam,18.416667,84.016667,State
Andhra Pradesh,Visakhapatnam,17.6868,83.2185,State
Andhra Pradesh,Vizianagaram,18.2,83.4,State
Andhra Pradesh,West Godavari,16.116667,81.016667,State
Arunachal Pradesh,Anjaw,27.925,96.348056,State
Arunachal Pradesh,Central Siang,28.2056,94.9917,State
Arunachal Pradesh,Changlang,27.13,95.74,State
Arunachal Pradesh,Dibang Valley,28.7,95.7,State
Arunachal Pradesh,East Kameng,27.4231,93.0176,State
Arunachal Pradesh,East Siang,28.1097,95.1432,State
Arunachal Pradesh,Kamle,23.5407,84.7394,State
Arunachal Pradesh,Kra Daadi,28.15285,94.12288,State
Arunachal Pradesh,Kurung Kumey,27.9,93.35,State
Arunachal Pradesh,Lepa Rada,27.982566,94.689752,State
Arunachal Pradesh,Lohit,28,96.5,State
Arunachal Pradesh,Longding,26.872819,95.305747,State
Arunachal Pradesh,Lower Dibang Valley,28.144545,95.841722,State
Arunachal Pradesh,Lower Siang,27.634826,94.647263,State
Arunachal Pradesh,Lower Subansiri,27.8,93.6,State
Arunachal Pradesh,Namsai,27.6689,95.8714,State
Arunachal Pradesh,Pakke Kessang,27.218049,93.083399,State
Arunachal Pradesh,Papum Pare,27.15,93.72,State
Arunachal Pradesh,Shi Yomi,28.529051,94.373041,State
Arunachal Pradesh,Tawang,27.586556,91.857778,State
Arunachal Pradesh,Tirap,26.9907,95.5028,State
Arunachal Pradesh,Upper Siang,28.61037,95.047531,State
Arunachal Pradesh,Upper Subansiri,28.3,94,State
Arunachal Pradesh,West Kameng,27.3428,92.3024,State
