Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Calangute Beach,GA_NorthGoa_CalanguteBeach,Goa,North Goa,Calangute,15.5494,73.7535,Port & Sea Beach,The beach is the largest in North Goa and visited by thousands of domestic and international tourists alike,"Known as the “Queen of Beaches” in Goa, Calangute Beach caters to all types of travellers, from nature lovers to adventure junkies to party freaks. Acting as a haven for nature lovers, in particular, this beach is the biggest and the most popular one in North Goa, boasting of scintillating charm as well as beauty. ","The vibrant markets here sell everything, from beer and food, to junk jewellery, clothes, trinkets and pawn items. Moreover, the beach is lined with dense palm and coconut trees with the grand Arabian Sea acting as the perfect backdrop. $People often visit the beach to soak in the mesmerising sunrises and sunsets which are a special feature of Calangute Beach.The beach offers water sport activities like parasailing and water skiing, among others.",https://i.imgur.com/0jppFK7.jpg,https://i.imgur.com/L5HT9ST.jpg https://i.imgur.com/6WKSdih.jpg https://i.imgur.com/BOea6bH.jpg https://i.imgur.com/IYYLlnh.jpg https://i.imgur.com/7LAdmg6.jpg https://i.imgur.com/5dsZMub.jpg https://i.imgur.com/QmOozSr.jpg https://i.imgur.com/KLAA362.jpg
Aguada Fort,GA_NorthGoa_AguadaFort,Goa,North Goa,Candolim ,15.4926,73.7732,Iconic Places,"Fort Aguada is a well-preserved seventeenth-century Portuguese fort, along with a lighthouse","A heritage from the Portuguese, Fort Aguada has been standing stern on the beach facing the Arabian Sea from 1612 when it was built in order to provide defence against the invading Dutch and the Marathas. It was a grand old fort in its time with the capacity to hold 79 cannons among other weapons of defense. It was one of the prized possessions of the Portuguese. ","The fort was constructed in 1612 to guard against the Dutch and the Marathas. It was a reference point for the vessels coming from Europe at that time. This old Portuguese fort stands on the beach south of Candolim, at the shore of the Mandovi River. It was initially tasked with defense of shipping and the nearby Bardez sub-district. $A freshwater spring within the fort provided water supply to the ships that used to stop by. This is how the fort got its name: Aguada, meaning watery in the Portuguese language. Crews of passing ships would often visit to replenish their freshwater stores. $On the fort stands a four-story Portuguese lighthouse, erected in 1864 and the oldest of its kind in Asia. Built in 1612, it was once the grandstand of 79 cannons. It has the capacity of storing 2,376,000 gallons of water, one of the biggest freshwater storages of the time in whole of Asia. $This fort is divided in two segments: the upper part acted as fort and watering station, while the lower part served as a safe berth for Portuguese ships. The lighthouse at the initial stage is used to emit light once in 7 minutes.",https://i.imgur.com/47v2ZqL.jpg,https://i.imgur.com/qsqdDc6.jpg https://i.imgur.com/6LosDLQ.jpg https://i.imgur.com/xKTwBTB.jpg https://i.imgur.com/KBrd0J0.jpg https://i.imgur.com/bNLYMgN.jpg https://i.imgur.com/USmXVpK.jpg https://i.imgur.com/HZhNoRw.jpg https://i.imgur.com/AYFOGMR.jpg
Baga Beach,GA_NorthGoa_BagaBeach,Goa,North Goa,Baga,15.5553,73.7517,Port & Sea Beach,"The beach contains rows of shacks and fishing boats, and at high tide the beach is narrow","Baga is a famous beach destination in North Goa that attracts thousands of tourists and watersports lovers to its heart. Called as ""The Hometown of Nightlife,"" Baga beach is reputed for its cranky music celebrations by late-night, mouth-watering food, designer shops, and adventure sports such as parasailing and banana rides, and dolphin cruises.","Tourism in Goa’s coasts got ignited by 1960 after the famous summer gathering of hippies from San Francisco. Baga beach then became popular among foreigners and slowly more exciting ventures like fishing, paddleboarding, discos, and tattoo shops started in the mainland. $Named after “Baga Creek in Baga”, the tidal residuary channel that drains into the Arabian sea, Baga beach in Goa is also well organized with parking facilities and is maintained tidy by the local governing authorities, besides experiencing hordes of travelers clubbing around. ",https://i.imgur.com/D7ofgMD.jpg,https://i.imgur.com/HIOEw0K.jpg https://i.imgur.com/Wd974IO.jpg https://i.imgur.com/ryc5U6o.jpg https://i.imgur.com/dcIiWTF.jpg
Anjuna Beach,GA_NorthGoa_AnjunaBeach,Goa,North Goa,Anjuna,15.5733,73.741,Port & Sea Beach,The combination of the white sand and the scintillating blue sea create an unbeatable view,"From a quiet family vacation to an adventure-filled weekend with your squad, the beach caters to people with different travel tastes and budgets.Stretched over the golden coastline, the southern and northern end of Anjuna beach offers a plethora of activities. While the southern end consists of a rocky headland, the northern end host water sports like bungee jumping, bumpy banana ride, and much more. ","Like all of Goa, Anjuna was long held by the Portuguese. Historian Teresa Albuquerque, reports that the village's name is derived from the Arabic word 'Hanjuman' (meaning merchant guild). Other say, it comes from an Arabic word for ""change"" - as people were arriving at Anjuna from the sea, and were looking to change money. $It was discovered by the hippies during the 60's, then was a center of backpackers and trance parties lovers, and lately became a popular destination for young big-city Indians.",https://i.imgur.com/bVL7aBe.jpg,https://i.imgur.com/i7DHE01.jpg https://i.imgur.com/G9zS8EP.jpg https://i.imgur.com/rPZftjy.jpg https://i.imgur.com/UrU3HTM.jpg https://i.imgur.com/1C0Vutk.jpg https://i.imgur.com/DL7umQc.jpg https://i.imgur.com/5ya4rXm.jpg https://i.imgur.com/kZyeYCc.jpg https://i.imgur.com/8ubPdL7.jpg https://i.imgur.com/RwNqIBc.jpg https://i.imgur.com/iOsQQUG.jpg
Dudhsagar Waterfalls & Rivers,GA_NorthGoa_DudhsagarWaterfalls & Rivers,Goa,North Goa,Sanguem Taluka,15.3144,74.3143,Waterfalls & Rivers ,The four-tiered waterfall structure is one of the tallest in India and is located on the Mandovi River,"The white water cascades down from a height of nearly 1017 feet off a nearly steep mountain face. They form a part of the Bhagwan Mahaveer Sanctuary and Mollem National Park, so the best way to reach them is by entering the national park and taking a van allocated by the park to the falls.The Dudhsagar trek inside the park is closed to the public but you can still reach the Waterfalls & Rivers by trekking from Kulem and following the jeep trail.","Reaching the Waterfalls & Rivers will not be an easy task but it is one that is worth every ounce of effort put into it. They are best experienced during the monsoons as they lose their force during the dry season. $Many tours are organized over this time so you can choose to go as a part of a group. Some tours even have overnight camping options. But remember to go well-prepared to ensure a good experience, especially if you are going on a self-organized trek. $The lush green jungle and the beautiful waterfall sending up their forceful sprays are a sight to remember long after you have left Dudhsagar behind.",https://i.imgur.com/qK2Svid.jpg,https://i.imgur.com/k6hcnis.jpg https://i.imgur.com/A0hGoNB.jpg https://i.imgur.com/kH7Luhx.jpg https://i.imgur.com/W0OPX0l.jpg https://i.imgur.com/IzBGHSr.jpg https://i.imgur.com/yoVfbOK.jpg https://i.imgur.com/YyxS6A2.jpg https://i.imgur.com/wQvwC8r.jpg https://i.imgur.com/uuA6oJY.jpg https://i.imgur.com/fgFJVrU.jpg https://i.imgur.com/PxMckV9.jpg https://i.imgur.com/beEji1r.jpg https://i.imgur.com/vJvBYVs.jpg https://i.imgur.com/EWVyvxE.jpg 
Dona Paula Beach,GA_NorthGoa_DonaPaulaBeach,Goa,North Goa,Dona Paula,15.4547,73.8045,Port & Sea Beach,"A small beach with a tragic history involving love and suicide, the Dona Paula Beach is top places to visit in Goa",It offers plenty of to do in terms of water sports and sightseeing. The jetty right next to the beach is frequented by tourists who come there for the lovely view it offers of the Arabian Sea. The beach is home to the tragic myth that the ghost of Dona Paula emerges at night from the sea wearing only a necklace of pearls and searching for her love. She is believed to have committed suicide on the beach.,"Dona Paula was a woman of charity and is known to have helped the villagers and worked a lot for their betterment, so after her death, the villagers decided to rename the village as Dona Paula. Initially the village was called Oddavell. $According to a local myth, Dona Paula entombed in the Cabo Chapel, the residence of the Governor of Goa and is supposed to be seen emerging from the moonlit waves wearing only a pearl necklace. Several tourists as well as locals guided by this myth visit the beach for a glimpse of Dona Paula. $The Cabo Raj Bhavan is situated at a scenic spot of Dona Paula. It is also home of a historic British war-graves cemetery. After the end of Portuguese rule in Goa in 1961, Dona Paula became a fashionable residential area and address.",https://i.imgur.com/ijBSnbI.jpg,https://i.imgur.com/xqnTLlJ.jpg https://i.imgur.com/YELa8am.jpg https://i.imgur.com/jesyNrz.jpg https://i.imgur.com/wHaWRMo.jpg https://i.imgur.com/dMwdu4o.jpg https://i.imgur.com/Niv7aks.jpg https://i.imgur.com/oHaZ0UK.jpg
Chapora Fort,GA_NorthGoa_ChaporaFort,Goa,North Goa,Bardez,15.606,73.7363,Iconic Places,The Fort of Chapora got popularized by the movie Dil Chahta Hai and is now a prime attraction of Goa,"Once a huge, commanding structure which was the site of many battles, and which was passed from the hands of the Portuguese to the Indians and back several times in its long history, the Chapora Fort is a goodplaces for sighseeing in Goa. The present building was constructed in 1717. The Fort rises on the banks of River Chapora and commands a great view of its surroundings.","The site was the location of a fort built by Muslim ruler Adil Shah called Shahpura, whose name the Portuguese altered to Chapora. The fort changed hands several times after Portuguese acquired Bardez. Trying to end the Portuguese rule in Goa, Prince Akbar joined his father's enemies, the Marathas in 1683 and made this place his base camp. $It became the northern outpost of the Old Conquests. After the Portuguese recovered from an encounter with the Marathas, they strengthened their northern defenses and provided shelter to the people there. $Across the Chapora river, the Hindu ruler of Pernem, the Maharaja of Sawantwadi who was an old enemy of the Portuguese held the fort for two years. $The Portuguese came in 1717, and carried out extensive repairs of the fort, adding features like bastions and a tunnel that extended to the seashore and banks of the Chapora River for emergencies. $The fort fell to Bhonsle in 1739. In 1741, the Portuguese regained the fort when the northern taluka of Pernem was handed over to them. In 1892, they completely abandoned the fort. $When Goa's border moved northwards with the acquisition of Pernem as part of the New Conquests, the fort lost its military significance towards the end of the century. $It is a pleasant place to wander that offers fantastic views north across the Chapora river to Pernem, south over Vagator and also far out to the Arabian Sea in the West.",https://i.imgur.com/OZCiqUC.jpg,https://i.imgur.com/xx5kvZb.jpg https://i.imgur.com/CsTcksr.jpg https://i.imgur.com/PaLAYof.jpg https://i.imgur.com/PHVLHQq.jpg https://i.imgur.com/02VIUPz.jpg https://i.imgur.com/1MkgZmX.jpg https://i.imgur.com/aq8P4OW.jpg https://i.imgur.com/sHop2M1.jpg
Grand Island,GA_SouthGoa_GrandIsland,Goa,South Goa,Grand Island,15.3527,73.7779,Nature & Wildlife,Grand Island is the nirvana of Goan water-sports,"There is a lot to be experienced here from diving to snorkelling to fishing. Scuba diving in Goa is the most popular activity because it offers so much in terms of underwater exploration.There are ship wrecks to be found here as well as some reefs. The “Suzy” wreck and the “Davy Jones Locker” are especially popular with divers as are Serge City, Bounty Rock, and Turbo Tunnel.","Grand island trip is not only about the island visit but it is about the various refreshing water activities too. Once your journey starts, you will be welcomed by the lovely dolphins. Watching them twirl and twist in the blue Arabian Sea is really remarkable. The feeling when we watch it can’t be described in words. $You can also go snorkelling. Professional instructors will provide the equipment and the instructions. Bumper boats and banana boats are also popular around the island.",https://i.imgur.com/zkOjMSb.jpg,https://i.imgur.com/sxtDYjh.jpg https://i.imgur.com/vdLY499.jpg https://i.imgur.com/4YsVQym.jpg https://i.imgur.com/piHj4sb.jpg https://i.imgur.com/36gOx0r.jpg https://i.imgur.com/0bPJ4wC.jpg https://i.imgur.com/RPIYxJx.jpg 
Candolim Beach,GA_NorthGoa_CandolimBeach,Goa,North Goa,Bardez,15.5128,73.7689,Port & Sea Beach,Candolim Beach is one of the best places to explore if you want to have an immersive Goan experience,"Candolim Beach is one of the best places to explore if you want to have an immersive Goan experience. The nightlife at Candolim attracts locals and tourists alike. In fact, it is one of the most sought after beaches when it comes to experiencing water sports or other activities like parasailing, bumpy banana ride, snorkeling, boat ride, jet skiing and even scuba diving!","The main Candolim-Calangute Road is packed with shops and restaurants, but the beach front is free of any commercial activity apart from some water activities. The area around the beach can be termed as resort free as there aren't any resorts there. However, the beach has quite a number of inns. $A feature about the Candolim Beach was the ship River Princess, which had been stuck at the shores of the beach since 2000 but has since been removed.",https://i.imgur.com/EMpfrCi.jpg,https://i.imgur.com/kMeAvW5.jpg https://i.imgur.com/KjG0yFK.jpg https://i.imgur.com/lqZ2ZgF.jpg https://i.imgur.com/JP9WyjO.jpg https://i.imgur.com/ObjDS6F.jpg https://i.imgur.com/ndUFqHD.jpg https://i.imgur.com/YNahPQR.jpg https://i.imgur.com/vHU07Ed.jpg https://i.imgur.com/VuvaWXL.jpg https://i.imgur.com/Fb9BeLU.jpg 
Palolem Beach,GA_SouthGoa_PalolemBeach,Goa,South Goa,Canacona,15.0099,74.0232,Port & Sea Beach,The beach is known for its picturesque natural beauty and uncanny party vibes,"Palolem Beach is one of the most beautiful beaches in Goa.  This is semi-circular beach which is only a mile long. Therefore, you will not require much time to explore all the beautiful sites that the beach has to offer. So, whether you are thinking about venturing out with a partner, or on your own, Palolem beach will always be enjoyable to you in every way. ","Palolem Beach is largely unspoiled and is inhabited by both local fishermen and by foreign tourists who live in shacks along the shore or in the main village itself. $One can view the entire beach from either end. Both ends of the beach consist of rocks jutting out into the sea. The depth of the sea increases gradually, being shallowest at the northern end of the beach, making it safe for average swimmers, and the currents are not fast. $The northern side of the beach is known to be a little bit safer, as the tides are somewhat calmer in this area. Therefore, if you are travelling with a small family member, then it is recommended that you stay at this side of the beach. $Nevertheless, if you have an unearthly thirst for adventure, then you should pay a visit to the southern part of the beach. In this section, the nature of the tides is more uncertain and precarious. Therefore, here, you can indulge in numerous types of water activities, such as kayaking and boat riding. $Nevertheless, if you like to stay away from activities and want to spend your time in leisure, then you can also book a shack. The shacks at the Palolem Beach are quite luxurious and can offer numerous amenities to make you feel at home.",https://i.imgur.com/mYhvcN4.jpg,https://i.imgur.com/WCCfYHL.jpg https://i.imgur.com/2yZpObO.jpg https://i.imgur.com/FXWv5EX.jpg https://i.imgur.com/HIKnNrW.jpg https://i.imgur.com/z9shZyj.jpg https://i.imgur.com/U4vG7ME.jpg https://i.imgur.com/w8j0EoH.jpg https://i.imgur.com/rlAk77E.jpg https://i.imgur.com/ZtUT5xx.jpg 
