Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Vedvyas Temple,OD_Sundargarh_VedvyasTemple,Odisha,Sundargarh,Rourkela,22.2366,84.7971,Religious Sites,Busy Hindu temple situated in scenic surrounds near the confluence of 3 rivers,"This spot is Situated on the intersection of the waterway Sankha and Koel, which from that point from the stream Brahmani, Vedavyas isn't just a position of characteristic magnificence yet in addition is viewed as a Tritha a position of strict holiness. A dunk in the juncture is gave a false representation of to wash away all transgressions. There are three sanctuaries here, two devoted to Lord Siva and one to Rama.You can locate that gliding stone that was utilized to manufacture bridge(Ramasetu) to SRI LANKA during Ram-Ravan war.","Tradition has it that Vyasadeva, the reputed sage, lived here and composed the great epic Mahabharat.",https://i.imgur.com/wPXnJEh.png,https://i.imgur.com/OhKdOHA.png https://i.imgur.com/4V2pp3Z.png https://i.imgur.com/UaFbNNT.png
Vaishnodevi Temple,OD_Sundargarh_VaishnodeviTemple,Odisha,Sundargarh,Rourkela,22.260432,84.853573,Religious Sites,Replica of original Temple of Mata Vaishno Devi Ji in Jammu,This Temple is arranged on the head of the Durgapur Hill looking towards Rourkela Steel Plant. The Vaishno Devi Temple at Rourkela is a copy of the first Temple of Vaishnodevi of Jammu(Trikuta Hills).Good area and sanctuary to visit. Condition is extremely cool and alluring. It's a beautiful sanctuary of Vaishno Devi in the mountain. You have to climb around 500 steps to reach there. Seaters are accessible in the middle of this excursion so anybody can rest if necessary. ,"In 2007, the Temple of Goddess Durga, located on the top of the hill, was opened for visitors. During Durga Puja, in the spring and autumn seasons, the Navaratri Festival is celebrated, hundreds of Hindu worshippers come here.",https://i.imgur.com/kSDTZ4Q.jpg,https://i.imgur.com/qUOPRhP.jpg https://i.imgur.com/u0KmoCe.jpg https://i.imgur.com/u0KmoCe.jpg https://i.imgur.com/xKOEi9c.jpg
Mandira Dam,OD_Sundargarh_MandiraDam,Odisha,Sundargarh,Kansbahal,22.2837,84.7761,Dams & Water Reservoirs,A dam on Shankha River meant for industrial use,"It is worked across Sankh stream, found 16 km upstream from Mandira. The water from the dam is utilized for Rourkela Steel Plant. The dam dislodged 2400 families and just 843 were resettled.The store offers sailing offices for vacationers and the closest railroad station is situated in Kansbahal on the Howrah-Mumbai fundamental line of South Eastern Railway. Rourkela is the nearest intersection station. ",Construction of the dam began after 1957. The dam displaced 2400 families and only 843 were resettled.,https://i.imgur.com/gAsVhS1.jpg,https://i.imgur.com/o553deA.jpg https://i.imgur.com/EEuSOIl.jpg https://i.imgur.com/4hMQklU.jpg https://i.imgur.com/XJB5Nzm.jpg
Khandadhar Waterbodies,OD_Sundargarh_KhandadharWaterbodies,Odisha,Sundargarh,Bonaigarh,21.7609,85.1168,Waterbodies,"A 244 meter height water fall look like ""Khanda""(Sword)","It is the 12th highest waterfall in India and second tallest waterfall in Odisha.It seems as though a blade that is the reason it named as khanda(sword) dhara waterfall. The Korapani Nala, a little stream, plunges from a stature of 244 meters (801 ft) in a solitary drop.ts hard to portray the magnificence of this waterfall on words. Probably the best waterfall you will discover in Odisha. One thing you will see occurrence is greenery, any place you look you will see excellence of the nature. ","""A Pauri Bhuiya (Ancient neighborhood Tribe) legend talks about how their mountains came to be so big-hearted. The Sundergarh part of the network was once controlled by a greedy goddess named Kankala Devi, who devoured trees, soil and everything else. :Despondently, the Pauri Bhuiya set her on a stone, which she ate through also—making a profound opening from which spilled out the Khandadhara (split-rock cascade). So they had water. At that point a couple from the network went to see family members at the eastern, or Keonjhar, end of the Khandadhar mountain go. :Their planned hosts were away however a heap of grains had been left outside and, incredibly, not even the winged animals were eating it. Inside the store, the couple found a little goddess, Kanta Kumari, defender of the locale's success. They took her and took her back to Sundergarh, thus her abundance turned into theirs.",https://i.imgur.com/LVLhpu9.jpg,https://i.imgur.com/ucfBmSq.jpg https://i.imgur.com/FrofmjK.jpg https://i.imgur.com/7gzLZRL.jpg https://i.imgur.com/MdpAxTd.jpg https://i.imgur.com/5PFnALA.jpg
Hanuman Vatika,OD_Sundargarh_HanumanVatika,Odisha,Sundargarh,Rourkela,22.2217,84.8315,Religious Sites,A garden consisting many temple along with a hight of 74.9 feet Statue of Lord Hanuman,"This Vatika(Garden) mostly famous for its Statue of Lord Hanuman  of 74.9 feet which is 9th tallest statue in india.Consistently on 23 February it commends its establishment day. Different sanctuaries inside the premises are 12 Jyotirlingas, Batta Mangala Devi, Sarala Devi Temple, Jagannath Temple, Lakshmi, and Santoshi Mata Temple. One Kalyan Mandap is worked to oblige open social events and capacities. The Hanuman sculpture was worked by Sri Lakshman Swami of Hyderabad. ","The Hanuman statue was built by Sri Lakshman Swami of Hyderabad.. The Vatika and the statue was Inaugurated in the year 1994 by the then Chief Minister of Orissa, Biju Patnaik.",https://i.imgur.com/fhxr1tx.jpg,https://i.imgur.com/Ate6PVW.jpg
Patali Srikhetra,OD_Subarnapur_PataliSrikhetra,Odisha,Subarnapur,Birmaharajpur,21.0602,84.0326,Religious Sites,Patali Srikhetra is a famous place with significant historical importance,"This religious place is associated with Shaktism, Buddhism and Vaishnavism. It is located in the foot of Trikut Hill at Kotsamalai of the Birmaharajpur subdivision of Subarnapur district, Odisha,India. It is widely believed that the idol of Lord Jagannath, Balabhadra and Devi Subhadra were kept hiding in the caves of the Trikut for a period of 144 years.","The Madalapanji describe that during the invasion of Raktavahu, a king named Sovanadeva of Odisha escaped with the images of Lord Jagannath, Balabhadra and Devi Subhadra. He then reached Sonepur and buried the images at a place called Sonepur-Gopali. After 144 years, a king name Yayati Keshari of Somavamsi dynasty got the images and made new images. He built a temple at Puri and enshrined the idols.",https://i.imgur.com/bqLE9VH.jpg,https://i.imgur.com/bqLE9VH.jpg https://i.imgur.com/FjwVeoB.jpg https://i.imgur.com/wpKeo9j.jpg
Papakshya Ghat,OD_Subarnapur_PapakshyaGhat,Odisha,Subarnapur,Binika,20.9973,83.8182,Religious Sites,Papakshya Ghat is situated on the bank of rive Mahanadi at Binika,A beautiful place famous for sun temple. A huge gathering is observed during solar and lunar eclipse. Great ganga dynasty emperor Ananga Bhimadev-iii cured from leprosy by taking bath thus people belief and come here to wash all their sins.,People say that Emperor Ananga Bhimadev-III got cured from leprosy by passing through the Bata bruksha tunnel after taking bath at the Ghat.,https://i.imgur.com/WDPUzzC.jpg,https://i.imgur.com/WDPUzzC.jpg
Pancharatha Temple,OD_Subarnapur_PancharathaTemple,Odisha,Subarnapur,Sonepur,20.8437,83.909,Religious Sites,"Pancharatha Temple is a highly revered shrine at Sonpur, in Odisha","This beautiful temple, constructed in a chariot size, resembles the Sun Temple at Konark. As many as five temples are built up on a single platform here. Lord Siva, Ganesh, Kartikeya and Rishava along with Goddess Parvati are worshipped here.Most noteworthy feature of the temple is that the idol of Lord Ganesh faces east; generally in all Shiva temples the idol faces south.",It is believed that Pancharatha Temple was built by King Birmitra Singhdeo to commemorate the death of his son Prince Somobhusan.,https://i.imgur.com/643zNHZ.jpg,https://i.imgur.com/643zNHZ.jpg https://i.imgur.com/PwHG46I.jpg https://i.imgur.com/FA81DOT.jpg
Bhima Bhoi Samadhi Pitha,OD_Subarnapur_BhimaBhoiSamadhiPitha,Odisha,Subarnapur,Khaliapali,20.8965623,83.7576045,Religious Sites,A beautiful place with a spiritual vibe,Bhima Bhoi Samadhi Pitha is situated 30 km away from sonepur with Samadhi mandir or Sunya mandir.,It is a 110 years old temple .,https://i.imgur.com/OUGbfrz.jpg,https://i.imgur.com/OUGbfrz.jpg https://i.imgur.com/AqzoPM9.jpg https://i.imgur.com/5GeG6t3.jpg https://i.imgur.com/ySBgtlP.jpg
Samaleswari Temple,OD_Sambalpur_SamaleswariTemple,Odisha,Sambalpur,Sambalpur,21.47397182,83.958941,Religious Sites,A holy place showcasing the heritage of sambalpur,"Shree Shree Samaleswari is the presiding deity of Sambalpur. On the bank of the river Mahanadi the mother goddess Samaleswari is worshipped from ancient times as Jagatjanani, Adishakti, Mahalaxmi and Mahasaraswati. The region in which the temple is situated has a rich cultural heritage. Sambalpur region is popularly known as Hirakhanda from ancient times. Ptolemy has described the place as Sambalak, Acording to Tavernir, the French traveller, and Edward Gibbon, the English historian, diamonds were exported to Rome from Sambalpur.","The Samaleswari temple is of Sandhara order (These types of the temples have a square sanctum enclosed by a gallery of pillars meant for Pradakshina). Thus, the Sandhara temples have a Pradakshinapatha is built of a kind of stone durable as granite, cemented with lime mortar, the whole building is plastered, but in the course of time the surface has become mouldy. :The temple comprises two separate structures. The square sanctum sanctorum enshrining the deity is four step below the 10-foot-wide (3.0 m) covered circumambulation, which is supported by 12 stone pillars. Eleven parswa devis (side Goddess), are embedded on the outer wall of the sanctum, so that the devotees can worship those deities during parikarma through the vaulted circumambulation. :The Idol of Shree Shree Samalai Devi consists of a large block of Granite rock with an inverted, trunk like projection at the bottom. A shallow cut on her ""Baraha"" like face symbolises her mouth. ",https://i.imgur.com/6Zqpn9q.jpg,https://i.imgur.com/nil5jn9.jpg https://i.imgur.com/TqmVGef.jpg https://i.imgur.com/9AAQAOY.jpg https://i.imgur.com/o2Y6Elj.jpg
